"","Election Year","District Number","District","Constituency No","Constituency","Position","Candidate's Name","Sex","Age","Category","Party","Total Votes","Votes Polled (%)","Public Meeting Non-Star","Public Meeting Star","Campaign Material","Media","Vehicle","Campaign Worker","Other Expenditure","Publication of Criminal Case","Own Fund","Party Fund","Another Person Fund","Total_Exp","Total_Fund_Rec","PMSbyTE","PMNSbyTE","CMbyTE","MedbyTE","VehbyTE","CWbyTE","OEbyTE","PoCCbyTE","OFbyTF","PFbyTF","APFbyTF"
"119",2020,10,"PURVI CHAMPARAN","12","Narkatia",3,"SONU KUMAR","MALE",38,"GENERAL","LJP",20494,11.18356789,0,0,187400,0,333003,28515,8477,33000,628000,0,41000,590395,669000,0,0,0.31741461225112,0,0.564034248257522,0.0482981732568873,0.0143581839277094,0.0558947823067607,0.938714499252616,0,0.0612855007473842
"120",2020,10,"PURVI CHAMPARAN","14","Govindganj",3,"RAJU TIWARI","MALE",50,"GENERAL","LJP",31461,20.65196699,334679,194034,251273,0,288200,19380,10000,33000,239000,30800,860766,1130566,1130566,0.171625539773883,0.296027830308005,0.222254162959084,0,0.254916563915773,0.0171418563799017,0.00884512713101225,0.0291889195323404,0.211398538431193,0.0272429915635177,0.761358470005289
"121",2020,21,"Madhubani","34","Babubarhi",1,"MINA KUMARI","FEMALE",31,"GENERAL","JD(U)",77367,40.3880788686514,414806,49595,5140,0,523600,1117500,0,33000,2e+05,1e+06,950000,2143641,2150000,0.0231358702320025,0.193505349076641,0.00239778955524736,0,0.244257317339984,0.52130930505621,0,0.0153943687399149,0.0930232558139535,0.465116279069767,0.441860465116279
"122",2020,25,"Nawada","236","Hisua",1,"NITU KUMARI","FEMALE",40,"GENERAL","INC",94930,49.80587618,40000,10000,15976,0,730000,329014,0,32356,0,2e+06,2e+05,1157346,2200000,0.00864045842816237,0.0345618337126495,0.0138039963848322,0,0.630753465255853,0.284283178928341,0,0.0279570672901621,0,0.909090909090909,0.0909090909090909
"123",2020,10,"PURVI CHAMPARAN","20","Chiraia",2,"Achchhelal Prasad","MALE",49,"GENERAL","RJD",46030,27.53138626,28714,0,427867,0,800700,0,91327,32317,50000,0,1415000,1380925,1465000,0,0.0207933088328475,0.309840867534443,0,0.579828737983598,0,0.0661346561181817,0.0234024295309304,0.0341296928327645,0,0.965870307167236
"124",2020,27,"Purnia","56","Amour",1,"AKHTARUL IMAN","MALE",56,"GENERAL","AIMIM",94459,51.1678927012123,326019,321303,472903,0,600950,226500,10000,32151,10000,0,2180000,1989826,2190000,0.16147291270694,0.16384296918424,0.23766047885594,0,0.302011331644073,0.113829048369053,0.00502556504940633,0.0161576941903463,0.0045662100456621,0,0.995433789954338
"125",2020,24,"Nalanda","172","Biharsharif",1,"Dr. Sunil Kumar","MALE",63,"GENERAL","BJP",81888,44.55447161,281203,163720,0,51856,227479,720000,275452,32100,125000,1500000,0,1751810,1625000,0.0934576238290682,0.160521403576872,0,0.0296013837117039,0.129853694179163,0.411003476404405,0.157238513309092,0.0183239049896964,0.0769230769230769,0.923076923076923,0
"126",2020,34,"Sitamarhi","27","Bajpatti",3,"REKHA KUMARI","FEMALE",36,"GENERAL","RLSP",11267,6.33771522750412,7700,355766,123608,18000,405875,36310,0,32000,84900,0,1120900,979259,1205800,0.363301230828616,0.00786308831473594,0.126226054598426,0.018381245411071,0.414471554512136,0.0370790567153327,0,0.0326777696196818,0.0704096865151767,0,0.929590313484823
"127",2020,21,"Madhubani","31","Harlakhi",2,"RAM NARESH PANDEY","MALE",76,"GENERAL","CPI",42800,25.5827854,98152,89581,30700,0,638679,0,0,32000,100264,0,789112,889112,889376,0.100753335912686,0.110393291283888,0.034528833262851,0,0.718333573273108,0,0,0.0359909662674669,0.112735221098838,0,0.887264778901162
"128",2020,5,"BEGUSARAI","146","Begusarai",2,"AMITA BHUSHAN","FEMALE",50,"GENERAL","INC",69663,37.22606674,444157,18000,5000,353557,341443,325800,0,31800,5e+05,2800000,50000,1519757,3350000,0.0118439987445361,0.292255275020941,0.00328999965126004,0.232640481340109,0.224669470185036,0.214376377276104,0,0.0209243977820138,0.149253731343284,0.835820895522388,0.0149253731343284
"129",2020,21,"Madhubani","31","Harlakhi",3,"MD. SHABBIR","MALE",45,"GENERAL","IND",27499,16.4369396294082,2000,0,361100,0,362900,20000,0,31630,35523,0,874000,777630,909523,0,0.00257191723570336,0.464359656906241,0,0.466674382418374,0.0257191723570336,0,0.0406748710826486,0.0390567363332208,0,0.960943263666779
"130",2020,10,"PURVI CHAMPARAN","10","Raxaul",1,"Pramod Kumar Sinha","MALE",60,"GENERAL","BJP",80979,45.60064871,0,417624,523629,10000,501133,202100,0,31500,2781627,1500000,0,1685986,4281627,0.247703124462481,0,0.310577312029874,0.00593124735318087,0.297234377984159,0.119870509007785,0,0.0186834291625197,0.649665886355818,0.350334113644182,0
"131",2020,37,"Vaishali","130","Patepur",2,"SHIV CHANDRA RAM","MALE",49,"SC","RJD",60670,36.5746322642874,56123,79695,0,36000,553500,0,570600,31500,0,0,0,1327418,0,0.0600376068427579,0.0422798244411331,0,0.0271203192965592,0.416974909184597,0,0.429857060850463,0.0237302793844893,0,0,0
"132",2020,30,"Samastipur","137","Mohiuddinnagar",2,"EJYA YADAV","FEMALE",48,"GENERAL","RJD",55271,37.30619959,699634,0,42350,176314,572035,488790,0,31500,390000,248275,1870990,2010623,2509265,0,0.347968763910489,0.0210631232210116,0.0876912280422536,0.284506344550918,0.243103754408459,0,0.0156667858668681,0.155423998660962,0.0989433160706422,0.745632685268395
"133",2020,10,"PURVI CHAMPARAN","13","Harsidhi (SC)",3,"Ramesh Kumar","MALE",45,"SC","RLSP",10523,6.182544579,0,208897,0,0,356600,0,125568,31166,610000,0,608867,722231,1218867,0.289238484639956,0,0,0,0.493747845218497,0,0.173861271532238,0.0431523986093092,0.500464775894335,0,0.499535224105665
"134",2020,3,"Aurangabad","219","Goh",1,"BHIM KUMAR SINGH","MALE",50,"GENERAL","RJD",81410,44.07020051,305676,1000,0,38186,334200,0,0,30900,1005000,0,0,709962,1005000,0.00140852609012877,0.430552621126201,0,0.0537859772776571,0.470729419321034,0,0,0.0435234561849789,1,0,0
